DATE,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,VOLUME,DAILY_RETURN,MA_7,52W_HIGH,52W_LOW,VOLATILITY
2025-04-29,3PLAND,EQ,42.25,44.78,39.69,43.06,8742,0.01917159763313615,,44.98,39.69,0.02504032660643505
2025-04-30,3PLAND,EQ,44.33,44.44,41.11,41.83,3337,-0.05639521768554027,42.94142857142857,44.98,39.69,0.02504032660643505
2025-04-22,5PAISA,EQ,394.0,405.7,387.15,394.2,58168,0.0005076142131979407,,405.7,363.8,0.015651700301750844
2025-04-23,5PAISA,EQ,394.9,405.0,383.1,387.4,69955,-0.01899214991136997,,405.7,363.8,0.015651700301750844
2025-04-24,5PAISA,EQ,387.4,398.05,383.55,388.15,34220,0.0019359834796076408,,405.7,363.8,0.015651700301750844
2025-04-25,5PAISA,EQ,388.5,391.5,371.05,376.95,26660,-0.02972972972972976,,405.7,363.8,0.015651700301750844
2025-04-28,5PAISA,EQ,367.35,382.2,363.8,367.3,58488,-0.00013610997686133489,,405.7,363.8,0.015651700301750844
2025-04-29,5PAISA,EQ,375.0,383.2,371.65,378.65,21707,0.009733333333333273,,405.7,363.8,0.015651700301750844
2025-04-30,5PAISA,EQ,381.5,381.5,370.0,371.45,23977,-0.02634338138925298,380.5857142857143,405.7,363.8,0.015651700301750844
2025-04-22,63MOONS,EQ,738.0,750.45,727.0,730.9,77361,-0.00962059620596209,,750.45,641.0,0.024193233530615036
2025-04-23,63MOONS,EQ,744.95,747.4,709.45,716.7,98892,-0.037922008188469025,,750.45,641.0,0.024193233530615036
2025-04-24,63MOONS,EQ,721.95,722.4,700.0,702.85,97595,-0.02645612577048275,,750.45,641.0,0.024193233530615036
2025-04-25,63MOONS,EQ,708.2,713.2,667.7,669.8,161179,-0.05422197119457793,,750.45,641.0,0.024193233530615036
2025-04-28,63MOONS,EQ,667.0,690.0,650.5,679.25,115322,0.018365817091454274,,750.45,641.0,0.024193233530615036
2025-04-29,63MOONS,EQ,685.0,688.85,660.0,662.55,73899,-0.03277372262773729,,750.45,641.0,0.024193233530615036
2025-04-30,63MOONS,EQ,673.95,673.95,641.0,644.9,105774,-0.043104087840344335,686.7071428571428,750.45,641.0,0.024193233530615036
2025-04-22,A2ZINFRA,EQ,15.49,15.66,15.05,15.12,223940,-0.02388637830858625,,15.66,13.29,0.031484756641663496
2025-04-23,A2ZINFRA,EQ,15.12,15.51,14.77,14.96,280893,-0.010582010582010474,,15.66,13.29,0.031484756641663496
2025-04-24,A2ZINFRA,EQ,15.34,15.34,14.8,14.9,160786,-0.028683181225554074,,15.66,13.29,0.031484756641663496
2025-04-25,A2ZINFRA,EQ,14.89,14.89,13.61,13.83,376027,-0.07118871725990601,,15.66,13.29,0.031484756641663496
2025-04-28,A2ZINFRA,EQ,13.88,14.19,13.29,13.78,168248,-0.007204610951008748,,15.66,13.29,0.031484756641663496
2025-04-29,A2ZINFRA,EQ,13.66,14.14,13.53,13.64,114439,-0.0014641288433381826,,15.66,13.29,0.031484756641663496
2025-04-30,A2ZINFRA,EQ,13.5,14.08,13.42,13.94,120281,0.032592592592592555,14.31,15.66,13.29,0.031484756641663496
2025-04-22,AAATECH,EQ,78.99,80.39,77.4,78.85,66854,-0.0017723762501582552,,81.0,75.1,0.010756782983637633
2025-04-23,AAATECH,EQ,79.58,81.0,77.2,79.16,66508,-0.005277707966825857,,81.0,75.1,0.010756782983637633
2025-04-24,AAATECH,EQ,79.74,80.5,78.49,79.25,35992,-0.006144971156257774,,81.0,75.1,0.010756782983637633
2025-04-25,AAATECH,EQ,79.25,80.5,75.11,77.22,42044,-0.025615141955835977,,81.0,75.1,0.010756782983637633
2025-04-28,AAATECH,EQ,78.97,78.97,76.41,76.87,7220,-0.02659237685196903,,81.0,75.1,0.010756782983637633
2025-04-29,AAATECH,EQ,78.0,78.0,75.1,76.08,25020,-0.024615384615384636,,81.0,75.1,0.010756782983637633
2025-04-30,AAATECH,EQ,77.99,77.99,76.01,77.04,6819,-0.012181048852416831,77.78142857142858,81.0,75.1,0.010756782983637633
2025-04-22,AADHARHFC,EQ,479.75,483.95,470.5,472.05,436743,-0.016050026055237077,,487.4,448.0,0.018754482235942747
2025-04-23,AADHARHFC,EQ,475.95,487.4,463.2,479.2,924907,0.006828448366425045,,487.4,448.0,0.018754482235942747
2025-04-24,AADHARHFC,EQ,480.0,481.5,466.0,468.35,548487,-0.024270833333333287,,487.4,448.0,0.018754482235942747
2025-04-25,AADHARHFC,EQ,468.35,474.95,448.0,456.75,510290,-0.024767801857585186,,487.4,448.0,0.018754482235942747
2025-04-28,AADHARHFC,EQ,458.0,473.6,455.05,470.25,428656,0.026746724890829694,,487.4,448.0,0.018754482235942747
